id;activity;produits_eco_responables;engagement_social;zero_dechet;anti_gaspillage;circuit_court;monnaie_locale;modele_collaboratif;action_local;energies_renouvelables ;epannouissement_personnel;animation_culturelle
19;Produit Naturel;1;0;1;1;1;0;0;1;0;0;0
29;Vin - Bio;1;1;0;0;1;0;0;1;0;0;0
44;Bio - Vegan;1;0;1;1;1;0;0;1;0;0;0
45;Bière - Vin;1;0;1;1;1;0;0;1;0;0;0
46;Locavore;1;0;0;1;1;0;0;1;0;0;0
13;100% Français;1;1;0;0;1;0;0;1;0;0;0
28;Boutique Engagé;1;0;1;1;0;0;0;0;0;0;0
6;Coworking;0;1;0;0;0;0;0;1;0;0;0
38;Bio - Local;1;0;1;1;1;0;0;1;0;0;0
59;Tapissier;1;0;1;1;1;0;0;0;0;0;0
7;Café - Salade;1;0;1;1;1;0;0;1;0;0;0
11;Coaching;0;0;0;0;0;0;1;1;0;0;0
115;Mode - Déco;1;0;1;0;1;0;0;1;0;0;0
113;Boulangerie;1;0;1;1;1;0;0;1;0;0;0
25;Cosmetics Bio;1;0;0;0;0;0;0;0;0;0;0
55;Kinésiologue;1;1;0;0;0;0;0;1;0;0;0
58;Nutrition;1;1;0;0;0;0;1;1;0;0;0
42;Hypnothérapeute;0;1;0;0;0;0;1;0;0;0;0
41;Salon Thé - Bio;1;1;0;0;1;0;0;1;0;0;0
111;Fromagerie;1;0;0;0;1;0;0;1;0;0;0
118;Café - Thé;1;0;1;1;1;0;0;1;0;0;0
110;Légumes et vins;1;0;1;1;1;0;0;1;0;0;0
39;Bio - Végan;1;0;1;0;0;0;0;0;0;0;0
40;Friperie;1;1;0;0;0;0;0;0;0;0;0
36;Jardins urbains;1;0;1;1;1;0;0;1;0;0;0
54;Chocolats thés;0;1;0;1;0;0;0;0;0;0;0
33;Patchs - ondes;1;1;0;0;0;0;0;0;0;0;0
52;Végé - Végan;1;0;1;1;1;0;0;1;0;0;0
27;Café - Téria;1;0;1;1;1;0;0;1;0;0;0
68;Bière Artisanale;1;0;1;1;1;0;0;1;0;0;0
74;Confiture;1;0;0;0;0;1;0;1;0;0;0
112;Végétarien Végan;1;0;1;1;1;0;0;1;0;0;0
116;Sans Gluten;1;0;1;0;0;0;0;1;0;0;0
24;Epicerie vrac;1;0;1;1;1;1;0;1;0;0;0
22;Espace Detente;1;1;0;0;1;0;0;1;0;0;0
57;Café - Brunch;1;0;1;1;1;0;0;1;0;0;0
114;Bière Artisanale;1;0;0;0;0;0;0;1;0;0;0
49;100% Artisanal;0;0;0;0;1;0;0;1;0;0;0
9;Nettoyant Ecolo;1;0;1;1;1;0;0;1;0;0;0
37;Produits Frais;1;0;0;1;1;0;0;1;0;0;0
4;Locavore;1;0;1;1;1;0;0;1;0;0;0
76;Bio - Végé;1;0;0;1;1;0;0;1;0;0;0
65;Esthéticienne;1;1;0;0;0;0;0;0;0;0;0
43;Bio - Végé;1;0;1;1;1;0;0;1;0;0;0
125;Locavore;1;0;1;1;1;0;0;1;0;0;0
18;Marketplace;1;1;1;0;0;0;1;0;0;0;0
132;Heathly Food;1;0;0;1;1;0;0;1;0;0;0
127;Bistrot Végé;1;0;0;0;0;0;0;1;0;0;0
129;Coach sportif ;1;1;0;1;0;0;0;1;0;0;0
48;100% Ethique;1;1;0;1;0;0;0;0;0;0;0
140;Lunettes Bois;1;0;0;1;0;0;0;0;0;0;0
138;Recyclage;1;1;1;1;1;0;0;1;0;0;0
130;Soupe Végé;1;0;0;1;1;0;0;1;0;0;0
128;Coffee Shop Vegan;1;0;0;1;1;1;0;1;0;0;0
72;Massages - Pieds;1;1;0;0;0;0;0;1;0;0;0
148;Bière - Vin;1;0;1;0;0;0;0;1;0;0;0
77;Massages ;1;0;0;0;1;0;0;1;0;0;0
121;Jus Légumes;1;1;1;1;1;0;1;1;0;0;0
136;Box Voyages;0;1;0;0;0;0;1;1;0;0;0
143;Chaussures;1;1;1;1;1;0;1;0;0;0;0
16;Viet et Bien;1;0;1;1;1;0;0;0;0;0;0
139;Peinture Ecolo;1;1;0;0;0;0;0;0;0;0;0
147;Fruits de Mer;0;0;0;0;0;0;0;0;0;0;0
184;Vin - Bio;1;1;0;0;1;0;0;1;0;0;0
141;Bière Artisanale;1;0;1;1;1;0;0;1;0;0;0
71;Naturopathe;1;1;0;0;0;0;0;0;0;0;0
63;Locavore;0;0;0;0;0;0;0;1;0;0;0
62;Bière Artisanale;1;1;0;1;1;0;0;1;0;0;0
126;Atelier Artisanal;0;0;0;0;1;0;0;0;0;0;0
208;Planche 1 Roue;0;0;0;1;0;0;1;1;1;0;0
190;Boulangerie;1;0;0;1;0;0;0;1;0;0;0
192;Glaces artisanales;1;0;1;1;1;0;1;1;0;0;0
195;Lombricompostage;1;0;1;1;0;0;0;1;1;0;0
56;Yoga;1;1;0;0;0;0;0;1;0;0;0
10;Impro Théâtrale;0;1;0;0;0;0;1;0;0;0;0
185;Solutions Voyage;0;1;0;1;0;0;0;0;0;0;0
12;Mode Ethique;1;1;0;1;0;1;0;0;0;0;0
23;Paniers bio;1;1;1;1;1;0;1;1;0;0;0
131;Coach sportif ;1;1;0;1;0;0;1;1;0;0;0
194;Produits Bio;1;0;1;1;0;0;0;1;0;0;0
197;Coach de vie;0;1;0;0;0;0;1;1;0;0;0
145;Mur Végétal;1;0;1;0;1;0;0;1;0;0;0
17;Livre;1;1;0;0;0;0;0;0;0;0;0
198;Végé - vegan;1;0;1;1;1;0;0;1;0;0;0
199;Produits Fermiers;1;0;0;1;1;0;1;1;0;0;0
202;Naturopathe;1;0;0;0;0;0;0;1;0;0;0
193;Locavore;0;0;0;1;1;0;0;1;0;0;0
144;Graines potagères;1;0;1;1;0;0;1;0;0;0;0
53;Gravure laser;1;0;1;1;0;0;1;1;0;0;0
182;Coiffeur éthique;1;0;0;0;0;0;0;1;0;0;0
206;Cosmetics Bio;1;0;0;1;0;0;0;1;0;0;0
249;Glacier artisanal;1;0;0;1;0;0;0;1;0;0;0
205;Coworking - Détente;1;1;1;1;1;1;1;1;0;0;0
243;Concept Store;1;0;1;1;1;0;0;1;0;0;0
8;100% Français;1;1;1;1;1;0;0;1;0;0;0
200;Danse;0;1;0;0;0;0;1;1;0;0;0
21;Produits Fermiers;1;1;1;1;1;0;1;1;0;0;0
26;Petit-déj bio;1;0;1;1;1;0;0;1;0;0;0
142;Etiopathe;1;1;0;0;0;0;0;1;0;0;0
253;Vin - Bio;1;0;0;0;0;0;0;0;0;0;0
70;Indien Végé;1;0;0;0;0;0;0;1;0;0;0
